Age_Months,C3,C10,C25,C50,C75,C90,C97
49,13.925,14.591,15.315,16.171,17.209,18.510,20.356
50,13.884,14.553,15.283,16.147,17.196,18.511,20.377
51,13.843,14.517,15.252,16.124,17.183,18.512,20.399
52,13.803,14.480,15.221,16.101,17.172,18.515,20.423
53,13.764,14.445,15.190,16.079,17.162,18.519,20.448
54,13.726,14.410,15.161,16.058,17.153,18.525,20.476
55,13.689,14.377,15.134,16.039,17.146,18.533,20.505
56,13.653,14.346,15.108,16.022,17.141,18.543,20.538
57,13.620,14.316,15.083,16.008,17.139,18.557,20.574
58,13.588,14.288,15.062,15.995,17.140,18.574,20.614
59,13.558,14.262,15.042,15.985,17.144,18.594,20.658
60,13.530,14.239,15.024,15.978,17.151,18.618,20.706
61,13.504,14.217,15.009,15.973,17.160,18.645,20.758
62,13.479,14.196,14.995,15.970,17.172,18.675,20.813
63,13.456,14.178,14.983,15.969,17.187,18.708,20.872
64,13.434,14.160,14.972,15.970,17.204,18.745,20.934
65,13.414,14.144,14.963,15.973,17.224,18.784,20.999
66,13.395,14.130,14.956,15.978,17.246,18.826,21.068
67,13.377,14.116,14.950,15.985,17.271,18.871,21.140
68,13.361,14.104,14.945,15.994,17.298,18.919,21.216
69,13.346,14.094,14.942,16.005,17.328,18.970,21.296
70,13.333,14.086,14.942,16.018,17.361,19.026,21.380
71,13.322,14.079,14.943,16.034,17.398,19.086,21.470
72,13.313,14.076,14.948,16.054,17.439,19.150,21.565
73,13.306,14.074,14.955,16.077,17.484,19.220,21.666
74,13.302,14.075,14.964,16.102,17.533,19.294,21.772
75,13.300,14.078,14.976,16.131,17.585,19.373,21.884
76,13.300,14.083,14.991,16.163,17.642,19.456,22.000
77,13.301,14.090,15.007,16.197,17.701,19.543,22.122
78,13.305,14.099,15.026,16.234,17.764,19.635,22.247
79,13.310,14.110,15.046,16.273,17.830,19.729,22.377
80,13.316,14.122,15.068,16.315,17.899,19.828,22.511
81,13.324,14.135,15.091,16.358,17.971,19.930,22.648
82,13.333,14.150,15.116,16.403,18.045,20.034,22.787
83,13.343,14.165,15.142,16.450,18.122,20.141,22.929
84,13.354,14.182,15.168,16.497,18.200,20.250,23.072
85,13.365,14.198,15.195,16.545,18.279,20.360,23.215
86,13.377,14.214,15.221,16.593,18.358,20.471,23.358
87,13.388,14.230,15.247,16.642,18.438,20.582,23.500
88,13.399,14.246,15.273,16.690,18.519,20.692,23.640
89,13.411,14.262,15.299,16.738,18.599,20.803,23.780
90,13.422,14.278,15.324,16.786,18.680,20.914,23.917
91,13.435,14.294,15.350,16.834,18.761,21.025,24.053
92,13.447,14.311,15.376,16.883,18.843,21.135,24.187
93,13.460,14.328,15.402,16.932,18.924,21.245,24.318
94,13.474,14.345,15.429,16.981,19.007,21.355,24.448
95,13.489,14.363,15.456,17.031,19.089,21.465,24.577
96,13.504,14.382,15.484,17.082,19.172,21.575,24.703
97,13.519,14.401,15.512,17.132,19.256,21.684,24.829
98,13.536,14.420,15.541,17.184,19.339,21.794,24.952
99,13.552,14.441,15.570,17.236,19.424,21.903,25.075
100,13.570,14.461,15.599,17.288,19.508,22.013,25.197
101,13.588,14.483,15.630,17.341,19.593,22.122,25.318
102,13.606,14.504,15.661,17.394,19.678,22.231,25.438
103,13.624,14.527,15.692,17.448,19.763,22.339,25.557
104,13.643,14.550,15.724,17.502,19.849,22.448,25.676
105,13.663,14.573,15.756,17.556,19.934,22.556,25.794
106,13.682,14.596,15.790,17.611,20.019,22.664,25.911
107,13.702,14.621,15.823,17.667,20.105,22.771,26.028
108,13.722,14.645,15.858,17.723,20.190,22.878,26.145
109,13.742,14.671,15.893,17.779,20.276,22.986,26.262
110,13.763,14.697,15.929,17.837,20.362,23.093,26.380
111,13.784,14.723,15.966,17.895,20.448,23.200,26.498
112,13.806,14.751,16.003,17.953,20.534,23.308,26.617
113,13.827,14.778,16.041,18.012,20.621,23.416,26.736
114,13.849,14.807,16.080,18.072,20.708,23.523,26.855
115,13.871,14.835,16.120,18.132,20.795,23.631,26.975
116,13.893,14.865,16.160,18.193,20.882,23.738,27.095
117,13.915,14.894,16.201,18.254,20.968,23.845,27.214
118,13.937,14.923,16.241,18.314,21.054,23.951,27.332
119,13.959,14.952,16.282,18.375,21.139,24.056,27.449
120,13.980,14.981,16.322,18.435,21.224,24.159,27.564
121,14.001,15.010,16.363,18.495,21.307,24.261,27.678
122,14.021,15.039,16.403,18.554,21.390,24.362,27.790
123,14.042,15.067,16.443,18.613,21.473,24.463,27.900
124,14.062,15.096,16.483,18.673,21.555,24.562,28.009
125,14.082,15.124,16.523,18.732,21.636,24.660,28.117
126,14.102,15.153,16.563,18.791,21.718,24.758,28.224
127,14.122,15.181,16.604,18.850,21.798,24.855,28.330
128,14.142,15.209,16.644,18.909,21.879,24.951,28.434
129,14.161,15.237,16.684,18.968,21.959,25.047,28.538
130,14.180,15.265,16.724,19.026,22.040,25.143,28.641
131,14.200,15.293,16.764,19.085,22.120,25.238,28.744
132,14.219,15.321,16.804,19.144,22.200,25.334,28.847
133,14.237,15.349,16.844,19.204,22.281,25.429,28.950
134,14.256,15.377,16.885,19.264,22.362,25.525,29.053
135,14.275,15.406,16.926,19.324,22.443,25.621,29.157
136,14.294,15.434,16.967,19.384,22.524,25.717,29.260
137,14.312,15.462,17.008,19.445,22.607,25.814,29.365
138,14.331,15.491,17.050,19.506,22.689,25.912,29.470
